"Longitude","Latitude","domainID","siteID","plotType","nlcdClass","nlcdClassSimple","soilMoisture","elevation","collectDate","sampleTiming","biophysicalCriteria","standingWaterDepth","boutType","samplingImpractical","incubationMethod","incubationCondition","horizon","soilTemp","litterDepth","sampleTopDepth","sampleBottomDepth","sampleExtent","soilSamplingDevice","soilCoreCount","biomassCode","biomassSampleCondition","boatMass","freshMassBoatMass","dryMassBoatMass","dryMassFraction","sampleType","acidTreatment","nitrogenPercent","organicCPercent","CNratio","cnPercentQF","percentAccuracyQF","analyticalRepNumber","cnInstrument","d15N","organicd13C","cnIsotopeQF","isotopeAccuracyQF","isoLaboratoryName","isoTestMethod","isoAnalyticalRepNumber","isoDataQF","nTransBoutType.y","incubationPairID","incubationLength","soilFreshMass","soilDryMass","kclVolume","kclAmmoniumNBlankCor","kclNitrateNitriteNBlankCor","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay"
-71.28692,44.041571,"D01","BART","distributed","mixedForest","forest",2.984,526.4,"5/20/2014 13:26","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"O",7.4,,0,5,,,1,,,2.1,7,3.33,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.28692,44.041571,"D01","BART","distributed","mixedForest","forest",0.38,526.4,"5/20/2014 13:26","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"M",7.4,,5,31,,,1,,,2.13,12.62,9.73,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.28692,44.041571,"D01","BART","distributed","mixedForest","forest",0.864,526.4,"5/20/2014 14:07","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"O",6.4,,0,20,,,1,,,2.11,7.59,5.05,0.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.28692,44.041571,"D01","BART","distributed","mixedForest","forest",0.259,526.4,"5/20/2014 14:07","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"M",6.4,,20,30,,,1,,,2.11,12.03,9.99,0.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.28692,44.041571,"D01","BART","distributed","mixedForest","forest",1.887,526.4,"5/20/2014 14:40","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"O",5.9,,0,17,,,1,,,2.15,12.6,5.77,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.28692,44.041571,"D01","BART","distributed","mixedForest","forest",0.336,526.4,"5/20/2014 14:40","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"M",5.9,,17,32,,,1,,,2.13,12.66,10.01,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.3109,44.0605,"D01","BART","distributed","deciduousForest","forest",0.055,432.7,"5/20/2014 17:50","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"M",8.4,,3,28,,,1,,,2.16,12.8,12.25,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.3109,44.0605,"D01","BART","distributed","deciduousForest","forest",1.07,432.7,"5/20/2014 17:50","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"O",8.4,,0,3,,,1,,,2.15,7.18,4.58,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.3109,44.0605,"D01","BART","distributed","deciduousForest","forest",2.444,432.7,"5/20/2014 18:20","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"O",8.1,,0,7,,,1,,,2.17,7.13,3.61,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.3109,44.0605,"D01","BART","distributed","deciduousForest","forest",0.306,432.7,"5/20/2014 18:20","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"M",8.1,,7,34,,,1,,,2.17,12.88,10.37,0.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.3109,44.0605,"D01","BART","distributed","deciduousForest","forest",1.252,432.7,"5/20/2014 18:40","winterSpringTransition","Not Recorded",0,"microbes",,"no incubation",,"M",8.1,,6,30,,,1,,,2.17,12.82,6.9,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
